From,To
AAPL,CRUS
AAPL,SWKS
AAPL,BBY
AAPL,MU
AAPL,QRVO
NVDA,SMCI
NVDA,MPWR
NVDA,AVT
NVDA,MU
AAPL,NVDA
NVDA,AAPL
MU,NVDA
MU,AVT
AVT,MPWR
AMAT,MU
MU,AMAT
SWKS,CRUS
CRUS,SWKS
SWKS,QRVO
QRVO,SWKS
CRUS,QRVO
QRVO,CRUS
